date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
2025-01-01,10.9,3.9,7.4,4.5,4.5,0.0,23.2
2025-01-02,5.4,0.3,2.6,0.0,0.0,0.0,25.1
2025-01-03,3.2,-1.9,0.4,0.0,0.0,0.0,17.1
2025-01-04,-0.1,-2.7,-1.4,0.0,0.0,0.0,26.1
2025-01-05,0.3,-3.6,-2.2,0.0,0.0,0.0,19.9
2025-01-06,-1.5,-4.4,-2.3,1.7,0.0,1.19,16.7
2025-01-07,-3.0,-8.7,-5.2,0.0,0.0,0.0,29.9
2025-01-08,-2.5,-6.6,-4.3,0.0,0.0,0.0,25.4
2025-01-09,-1.5,-6.8,-4.2,0.0,0.0,0.0,29.0
2025-01-10,3.3,-3.8,-0.9,0.0,0.0,0.0,22.5
2025-01-11,0.4,-2.9,-1.2,2.0,0.0,1.4,17.3
2025-01-12,4.8,-1.9,0.6,0.0,0.0,0.0,14.9
2025-01-13,6.6,-1.9,1.3,0.0,0.0,0.0,18.3
2025-01-14,0.3,-3.7,-1.7,0.0,0.0,0.0,21.1
2025-01-15,-1.0,-5.7,-3.4,0.0,0.0,0.0,23.7
2025-01-16,-0.6,-5.9,-3.2,0.3,0.0,0.21,10.7
2025-01-17,5.0,-4.9,-0.7,0.0,0.0,0.0,10.8
2025-01-18,6.5,-0.9,2.8,2.1,2.1,0.0,14.9
2025-01-19,2.6,-2.0,0.7,8.8,0.3,5.95,18.3
2025-01-20,-2.6,-10.5,-7.1,0.2,0.0,0.14,16.3
2025-01-21,-8.4,-15.8,-11.4,0.4,0.0,0.28,10.0
2025-01-22,-8.1,-16.6,-11.8,0.0,0.0,0.0,11.0
2025-01-23,-3.5,-13.1,-8.6,0.0,0.0,0.0,8.3
2025-01-24,-1.0,-10.6,-6.3,0.0,0.0,0.0,10.7
2025-01-25,-2.0,-13.0,-7.0,0.0,0.0,0.0,11.6
2025-01-26,4.1,-5.6,-1.0,0.0,0.0,0.0,15.9
2025-01-27,2.0,-4.8,-1.3,0.0,0.0,0.0,17.7
2025-01-28,4.4,-3.0,0.7,0.0,0.0,0.0,23.3
