date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
11/3/2014 16:02,24,2,77,871,36643,456.1151,792280,0,1,1,12/15/2014,12/19/2014,2,0,1,8286,1,0,1,0,63,1258,68
3/13/2013 19:25,11,3,205,135,38749,232.4737,961995,0,0,9,3/13/2013,3/14/2013,2,0,1,1842,3,0,1,2,198,786,37
10/13/2014 13:20,2,3,66,314,48562,4468.272,495669,0,1,9,4/3/2015,4/10/2015,2,0,1,8746,1,0,1,6,105,29,22
11/5/2013 10:40,11,3,205,411,52752,171.6021,106611,0,0,0,11/7/2013,11/8/2013,2,0,1,6210,3,1,1,2,198,1234,42
6/10/2014 13:34,2,3,66,174,50644,,596177,0,0,9,8/3/2014,8/8/2014,2,1,1,12812,5,0,1,2,50,368,83
12/16/2014 14:34,2,3,66,220,38273,53.7481,260938,0,0,9,12/16/2014,12/17/2014,2,0,1,3448,3,0,1,2,50,582,54
1/28/2014 13:16,2,3,66,337,54287,329.1833,908558,0,0,2,2/27/2014,3/1/2014,2,0,1,8287,1,1,1,2,198,400,6
2/27/2014 8:29,24,2,3,38,4999,,1161104,0,1,0,7/16/2014,7/20/2014,1,0,1,8856,1,0,1,2,50,636,0
12/15/2014 10:44,2,3,133,20,41185,,560103,0,0,1,12/17/2014,12/18/2014,2,0,1,8226,1,0,1,5,100,1446,46
11/16/2013 23:40,2,3,66,189,17017,2284.9105,748046,0,0,1,1/10/2014,1/12/2014,2,1,1,12206,6,0,1,2,50,628,1
12/15/2014 14:27,13,1,46,172,35989,117.1923,599440,0,1,9,7/3/2015,7/5/2015,2,0,1,2713,3,0,3,6,144,1377,78
2/14/2014 12:52,28,1,68,480,24714,,1196773,0,1,0,2/26/2014,3/2/2014,2,0,1,56041,6,0,2,6,204,1479,61
6/18/2014 15:55,2,3,66,174,42881,304.6641,93433,0,0,9,10/4/2014,10/5/2014,2,0,1,24284,6,0,1,2,50,355,50
4/9/2014 6:40,2,3,119,0,27731,,1164644,0,0,9,4/23/2014,4/24/2014,2,0,1,26232,6,0,1,2,198,384,37
10/13/2014 7:35,2,3,66,448,30687,3804.7061,115147,1,1,2,12/27/2014,1/2/2015,1,0,1,8255,1,0,1,6,77,20,11
9/22/2013 20:54,13,1,46,171,17439,3920.3396,353687,0,1,9,11/29/2013,12/2/2013,2,0,1,8267,1,0,1,2,50,675,37
5/15/2014 16:54,2,3,66,174,16634,7441.2888,411402,1,0,9,2/24/2015,2/27/2015,2,0,1,20896,6,0,1,0,63,1258,9
10/17/2014 11:01,2,3,12,921,26044,,95283,0,0,9,10/18/2014,10/19/2014,2,0,1,8240,1,0,6,6,79,16,59
