customer_id,age,region,segment,income,monthly_spend
1,56,West,Medium Value,63353.0,2411.0
2,69,East,Medium Value,64900.0,2688.0
3,46,East,Low Value,47074.0,1147.0
4,32,North,High Value,30267.0,1671.0
5,60,North,High Value,44233.0,2753.0
6,25,East,Low Value,32340.0,927.0
7,38,East,Low Value,44319.0,1098.0
8,56,West,High Value,84328.0,4960.0
9,36,West,Medium Value,61228.0,2778.0
10,40,East,Medium Value,54556.0,2233.0
11,28,West,Medium Value,59645.0,2195.0
12,28,West,Medium Value,52709.0,2320.0
13,41,South,High Value,29774.0,1658.0
14,53,West,High Value,70725.0,4655.0
15,57,North,High Value,70565.0,4246.0
16,41,West,Medium Value,46956.0,2030.0
17,20,West,High Value,17848.0,759.0
18,39,East,Medium Value,54104.0,1972.0
19,19,North,Medium Value,10359.0,614.0
20,41,West,Low Value,49635.0,1289.0
21,61,West,High Value,60679.0,3947.0
22,47,South,High Value,42362.0,2614.0
23,55,West,Medium Value,73638.0,2967.0
24,19,West,High Value,30737.0,2101.0
25,38,South,Medium Value,49040.0,2113.0
26,50,East,Low Value,66579.0,1635.0
27,29,West,Low Value,39562.0,825.0
28,39,South,Low Value,52664.0,961.0
29,61,North,Low Value,75009.0,1810.0
30,42,East,Low Value,56368.0,1231.0
31,66,North,Medium Value,73960.0,3348.0
32,44,North,Low Value,70231.0,1658.0
33,59,South,Medium Value,77570.0,3001.0
34,45,West,Low Value,52392.0,1082.0
35,33,South,Medium Value,33953.0,1318.0
36,32,South,Low Value,48586.0,1115.0
37,64,South,Low Value,71559.0,2050.0
38,68,South,Medium Value,89890.0,3621.0
39,61,East,Medium Value,76725.0,3068.0
40,69,West,Low Value,81292.0,2012.0
41,20,North,High Value,32130.0,2046.0
42,54,North,Low Value,52143.0,1236.0
43,68,West,Low Value,70820.0,1871.0
44,24,North,High Value,40168.0,2652.0
45,38,West,Medium Value,30004.0,1269.0
46,26,North,Low Value,49517.0,1200.0
47,56,South,Medium Value,83270.0,3188.0
48,35,North,Medium Value,25301.0,971.0
49,21,West,Medium Value,18848.0,838.0
50,42,West,Low Value,52997.0,1095.0
51,31,West,Low Value,35524.0,1013.0
52,67,West,Medium Value,74559.0,3014.0
53,26,West,High Value,36383.0,2161.0
54,43,East,Medium Value,41312.0,1554.0
55,19,East,Low Value,44034.0,1029.0
56,37,North,Medium Value,51095.0,2133.0
57,45,West,Medium Value,47653.0,1887.0
58,64,North,Low Value,84450.0,2036.0
59,24,West,Low Value,30316.0,828.0
60,61,West,Medium Value,54432.0,2253.0
61,25,East,Medium Value,38085.0,1336.0
62,64,East,Low Value,72932.0,1909.0
